Gain(%),Length_name_ref(L),rrs
10.9090909090909,1,A
10.7142857142857,1,A
10.5263157894737,1,A
15.7142857142857,1,A
25.6198347107438,1,A
10.3448275862069,1,A
23.134328358209,1,A
29.2929292929293,1,A
10.3448275862069,1,A
18.3908045977011,1,A
12.962962962963,1,A
18.0555555555556,1,A
15.9420289855072,1,A
10.5263157894737,1,A
11.3207547169811,1,A
11.3207547169811,1,A
21.3114754098361,1,A
12.7272727272727,1,A
2.08333333333333,4,A
24.2718446601942,1,A
12.7272727272727,1,A
21.5909090909091,1,A
12.280701754386,1,A
13.4615384615385,1,A
15.4929577464789,1,A
20.5882352941176,1,A
15.7142857142857,1,A
10.3448275862069,1,A
16.1764705882353,1,A
12.5,1,A
24.2718446601942,1,A
25.2525252525252,1,A
24.5098039215686,1,A
28.2442748091603,1,A
24.5098039215686,1,A
12.962962962963,1,A
18.5714285714286,1,A
35.5,1,A
22.7272727272727,1,A
29.1666666666667,1,A
10.1694915254237,1,A
17.5824175824176,1,A
10.7142857142857,1,A
11.5384615384615,1,A
21.4285714285714,1,A
18.3098591549296,1,A
22.093023255814,1,A
14.4736842105263,1,A
21.3483146067416,1,A
29,1,A
17.7777777777778,1,A
15.2777777777778,1,A
24.2718446601942,1,A
22.3529411764706,1,A
15.7142857142857,1,A
11.3207547169811,1,A
19.811320754717,1,A
11.3207547169811,1,A
10.5263157894737,1,A
18.3908045977011,1,A
18.3098591549296,1,A
10.7142857142857,1,A
15.0684931506849,1,A
10.3448275862069,1,A
29.5180722891566,1,A
11.1111111111111,1,A
11.5384615384615,1,A
29.5180722891566,1,A
18.3098591549296,1,A
10.5263157894737,1,A
18.8235294117647,1,A
25.1366120218579,1,A
12.5,1,A
22.093023255814,1,A
12.7272727272727,1,A
10.5263157894737,3,A
14.2857142857143,1,A
21.6666666666667,1,A
15.0684931506849,1,A
15.4929577464789,1,A
10.5263157894737,1,A
21.3483146067416,1,A
20.7920792079208,1,A
15.4929577464789,1,A
12.280701754386,1,A
10.7142857142857,1,A
20.8791208791209,1,A
29.6969696969697,1,A
23.1481481481481,1,A
12.5,1,A
11.864406779661,1,A
24.5098039215686,1,A
10.3448275862069,1,A
10.7142857142857,1,A
18.0555555555556,1,A
15.4929577464789,1,A
16.4179104477612,1,A
19.5121951219512,1,A
13.4615384615385,1,A
20.8791208791209,1,A
17.5675675675676,1,A
11.1111111111111,1,A
10.7142857142857,1,A
23.3644859813084,1,A
33.3333333333333,1,A
15.7142857142857,1,A
20.2702702702703,1,A
12.6984126984127,1,A
15.4929577464789,1,A
26.027397260274,4,A
15.2777777777778,1,A
21.1111111111111,1,A
11.3207547169811,1,A
11.3207547169811,1,A
17.5675675675676,1,A
10.3448275862069,1,A
15.7142857142857,1,A
14.2857142857143,1,A
11.1111111111111,1,A
29,1,A
22.3529411764706,1,A
19.4805194805195,1,A
15.4929577464789,1,A
21.8390804597701,1,A
10.9090909090909,1,A
21.1111111111111,1,A
14.8648648648649,1,A
10.2564102564103,4,A
14.1025641025641,1,A
11.1111111111111,1,A
9,3,A
14.8148148148148,1,A
28.4313725490196,1,A
24.0384615384615,1,A
10.5263157894737,1,A
10.5263157894737,1,A
15.2777777777778,1,A
22.093023255814,1,A
10.3448275862069,1,A
14.5454545454545,1,A
11.1111111111111,1,A
17.5824175824176,1,A
18.0555555555556,1,A
14.8648648648649,1,A
21.5909090909091,1,A
24.5098039215686,1,A
24.7524752475248,1,A
19.811320754717,1,A
25,1,A
11.1111111111111,1,A
21.6666666666667,1,A
24,1,A
27.4074074074074,1,A
15.7142857142857,1,A
13.2075471698113,1,A
14.2857142857143,1,A
15.7142857142857,1,A
8.64197530864197,3,A
15.9420289855072,1,A
22.093023255814,1,A
18.5714285714286,1,A
24.0384615384615,1,A
11.2903225806452,1,A
22.093023255814,1,A
11.3207547169811,1,A
14.6666666666667,1,A
19.0909090909091,1,A
26.6009852216749,2,A
3.84615384615385,4,A
22.3214285714286,1,A
19.1176470588235,1,A
10.5263157894737,1,A
21.8390804597701,1,A
2.80373831775701,4,A
12.5,1,A
15.0684931506849,1,A
28.4313725490196,1,A
13.1147540983607,1,A
10.3448275862069,1,A
10.9090909090909,1,A
26.3636363636364,1,A
10.5263157894737,1,A
12.962962962963,1,A
10.5263157894737,1,A
15.4929577464789,1,A
15.7142857142857,1,A
